jday	Time	u_ref	T_ref	d_ref	precip	q_par	T_canopy	d_canopy	p_atm	CO2_atm	T0	Tsurf	Troot	Zw	lai	A	Ec
331	0	0.8500000000000146	17.3	1.9715589607628372	0.0037208411722035608	31.450664308467125	17.25656614105969	1.9661218981248527	77.44926265875492	399	17.100245132564588	17.100245132564588	17.100245132564588	10	1	-999	-999
331	0.5	0.8500000000000146	14.7	1.668891482773298	0.073707013448203	24.560582027451872	15.979261411322305	1.8125975165900843	77.44926265875492	399	16.745974986735856	16.745974986735856	16.745974986735856	10	1	-999	-999
331	1	0.8500000000000146	16.4	1.8621305154418542	0.0046859573333581685	27.39479264024133	17.56348977435491	2.0054177270631746	77.44926265875492	399	17.262491343534766	17.262491343534766	17.262491343534766	10	1	-999	-999
331	1.5	0.8500000000000146	15.5	1.7575411478486842	0.006918311017117377	17.10688440004712	17.506657296826326	1.998235362967766	77.44926265875492	399	17.338033046901412	17.338033046901412	17.338033046901412	10	1	-999	-999
331	2	0.8500000000000146	19.5	2.268132684173697	0.0037208411722035616	31.462893508692503	15.890056056132261	1.8050317274864731	77.44926265875492	399	16.764161965881296	16.764161965881296	16.764161965881296	10	1	-999	-999
331	2.5	0.8500000000000146	21.9	2.629482573226905	0.0037208411722035608	33.40529902018954	15.66533255820043	1.7780051569553026	77.44926265875492	399	16.783606366683923	16.783606366683923	16.783606366683923	10	1	-999	-999
331	3	0.8500000000000146	18.5	2.129638433000894	0.0037208411722035608	25.887554076395986	15.383591057004162	1.746344100169737	77.44926265875492	399	16.126597017394147	16.126597017394147	16.126597017394147	10	1	-999	-999
331	3.5	0.8500000000000146	18.9	2.177240177601085	0.0037208411722035608	29.253760640749327	15.90971793855377	1.7999115832981747	77.44926265875492	399	16.793030550118885	16.793030550118885	16.793030550118885	10	1	-999	-999
331	4	0.8500000000000146	19.9	2.3235175365635814	0.0037208411722035616	33.85676077227522	15.557164831839877	1.7650116213596416	77.44926265875492	399	16.77699057604141	16.77699057604141	16.77699057604141	10	1	-999	-999
331	4.5	0.8500000000000146	19.7	2.292572382081477	0.0037208411722035616	26.382851638341773	14.697696833150381	1.6674321530686815	77.44926265875492	399	15.81298561961233	15.81298561961233	15.81298561961233	10	1	-999	-999
331	5	0.8500000000000146	21.6	2.57783877100689	0.0037208411722035608	33.937993433920255	16.030712925040966	1.8165052834415079	77.44926265875492	399	17.011416721404295	17.011416721404295	17.011416721404295	10	1	-999	-999
331	5.5	0.8500000000000146	19	2.1988084693917185	0.0037208411722035608	141.97568867220843	16.326597717322393	1.8566708354111428	77.44926265875492	399	16.89076093589995	16.89076093589995	16.89076093589995	10	1	-999	-999
331	6	0.8500000000000146	20	2.3374871813058653	0.0037208411722035608	145.11403967038345	16.23715811456659	1.8432970149020484	77.44926265875492	399	16.89039278602383	16.89039278602383	16.89039278602383	10	1	-999	-999
331	6.5	0.8500000000000146	20.8	2.456570915790223	0.0037208411722035608	146.05419003093945	15.534606274468203	1.762176110197984	77.44926265875492	399	16.888067692719197	16.888067692719197	16.888067692719197	10	1	-999	-999
331	7	0.8500000000000146	18.5	2.1294248283436223	0.0037208411722035616	136.02577875273303	14.730005879143938	1.6738828986582253	77.44926265875492	399	15.79381310570636	15.79381310570636	15.79381310570636	10	1	-999	-999
331	7.5	0.8500000000000146	20.9	2.4724750784740777	0.0037208411722035608	148.5608489381706	14.70213230051594	1.6705166044438287	77.44926265875492	399	16.264419201045293	16.264419201045293	16.264419201045293	10	1	-999	-999
331	8	0.8500000000000146	19.5	2.266313812734905	0.0037208411722035608	165.1155352959381	15.947432200890798	1.8098704365167506	77.44926265875492	399	17.2285691356096	17.2285691356096	17.2285691356096	10	1	-999	-999
331	8.5	0.8500000000000146	19.9	2.3228183137117715	0.003701497850491926	194.67332151421434	16.096073492318133	1.82652349631242	77.44926265875492	399	17.58258800333764	17.58258800333764	17.58258800333764	10	1	-999	-999
331	9	0.8500000000000146	21	2.4809869221972254	0.003701497850491926	213.1989672769484	15.621339220176548	1.765946801571662	77.44926265875492	399	17.633021414544665	17.633021414544665	17.633021414544665	10	1	-999	-999
331	9.5	0.8500000000000146	21.4	2.54467878884662	0.003701497850491926	280.12309164441615	17.17034436013604	1.9522622154327751	77.44926265875492	399	17.696573952345155	17.696573952345155	17.696573952345155	10	1	-999	-999
331	10	0.8500000000000146	20.6	2.4230869230693757	0.003701497850491926	284.61942345203664	17.88149497566358	2.0436679022274884	77.44926265875492	399	17.653050941219632	17.653050941219632	17.653050941219632	10	1	-999	-999
331	10.5	0.8500000000000146	19.9	2.3207206451563427	0.003701497850491926	278.35673944617474	18.16684187329824	2.0816610400572673	77.44926265875492	399	17.664699054124373	17.664699054124373	17.664699054124373	10	1	-999	-999
331	11	0.8500000000000146	19.6	2.2788390115534853	0.012540916649017452	337.32542200612176	19.315926790638947	2.238749510225591	77.44926265875492	399	17.936399045246816	17.936399045246816	17.936399045246816	10	1	-999	-999
331	11.5	0.8500000000000146	20.8	2.4553389343881213	0.0051898000237072745	383.3954074157362	19.299073742559628	2.2365492531054	77.44926265875492	399	18.64279196433873	18.64279196433873	18.64279196433873	10	1	-999	-999
331	12	0.8500000000000146	15.2	1.7240185627148101	0.009649533381768065	442.7	20.157113323825058	2.3601562201701207	77.44926265875492	399	18.272615724839522	18.272615724839522	18.272615724839522	10	1	-999	-999
331	12.5	0.8500000000000146	15.9	1.803309092411083	0.006313490575561771	386.6	19.36587226796584	2.2463550589977097	77.44926265875492	399	17.8226649440386	17.8226649440386	17.8226649440386	10	1	-999	-999
