jday	Time	u_ref	T_ref	d_ref	precip	q_par	T_canopy	d_canopy	p_atm	CO2_atm	T0	Tsurf	Troot	Zw	lai	A	Ec
331	0	0.8500000000000146	17.2	1.9587342712810127	0.004379167663859168	0.069	17.866386109756668	2.043343876915581	77.44926265875492	399	17.351951038584282	17.351951038584282	17.351951038584282	10	1	-999	-999
331	0.5	0.8500000000000146	14.6	1.6579876685695092	0.012973086462873455	0.079	17.36868317019467	1.9807093647968046	77.44926265875492	399	16.427842808489824	16.427842808489824	16.427842808489824	10	1	-999	-999
331	1	0.8500000000000146	16.6	1.885786385504681	0.00674692141956829	0.08	19.92106470940581	2.325230430804887	77.44926265875492	399	18.799658449161754	18.799658449161754	18.799658449161754	10	1	-999	-999
331	1.5	0.8500000000000146	15.3	1.734955429994753	0.007504661909033652	0.063	18.729164477718626	2.1585219739135435	77.44926265875492	399	17.629414685308095	17.629414685308095	17.629414685308095	10	1	-999	-999
331	2	0.8500000000000146	20.9	2.472970912240943	0.004379167663859168	0.07	17.769990547274908	2.033754952625096	77.44926265875492	399	17.075175237651308	17.075175237651308	17.075175237651308	10	1	-999	-999
331	2.5	0.8500000000000146	23.9	2.9684285411455513	0.004379167663859167	0.07	17.004463047753784	1.9363003673070953	77.44926265875492	399	16.936393954695895	16.936393954695895	16.936393954695895	10	1	-999	-999
331	3	0.8500000000000146	21.3	2.53446593044134	0.011430449715141218	0.083	17.311297380975994	1.975290100292737	77.44926265875492	399	16.720411081222053	16.720411081222053	16.720411081222053	10	1	-999	-999
331	3.5	0.8500000000000146	17.5	1.9922160007242145	0.004379167663859168	0.07	18.140493400830398	2.074839202769892	77.44926265875492	399	17.297467725709062	17.297467725709062	17.297467725709062	10	1	-999	-999
331	4	0.8500000000000146	20.6	2.42552071869319	0.004379167663859168	0.071	17.126731013862408	1.9504238529258597	77.44926265875492	399	16.75445738051338	16.75445738051338	16.75445738051338	10	1	-999	-999
331	4.5	0.8500000000000146	19.5	2.2640402234364148	0.004379167663859169	0.073	16.977616161243205	1.9308434319503227	77.44926265875492	399	16.694542553919998	16.694542553919998	16.694542553919998	10	1	-999	-999
331	5	0.8500000000000146	21.3	2.5304006216807324	0.004267129164723896	0.111	17.704856287233508	2.0211230902080133	77.44926265875492	399	17.17359533724144	17.17359533724144	17.17359533724144	10	1	-999	-999
331	5.5	0.8500000000000146	21.1	2.504306026101446	0.003992392601360708	131	18.533941676796307	2.134778066481064	77.44926265875492	399	17.22126734141947	17.22126734141947	17.22126734141947	10	1	-999	-999
331	6	0.8500000000000146	20.1	2.3520015186797827	0.003992392601360708	131.4	18.37864793993919	2.1118849436741396	77.44926265875492	399	17.10526322843424	17.10526322843424	17.10526322843424	10	1	-999	-999
331	6.5	0.8500000000000146	21.9	2.6276375072673432	0.003992392601360708	132	17.299772803040533	1.9719509686802679	77.44926265875492	399	16.548686904286935	16.548686904286935	16.548686904286935	10	1	-999	-999
331	7	0.8500000000000146	20.1	2.352945434208499	0.003992392601360708	132.9	17.957227983796862	2.0574146044557176	77.44926265875492	399	17.02895608854772	17.02895608854772	17.02895608854772	10	1	-999	-999
331	7.5	0.8500000000000146	21.5	2.564683640057105	0.003992392601360708	147.9	17.007461891984008	1.9363737605572287	77.44926265875492	399	16.470410114221114	16.470410114221114	16.470410114221114	10	1	-999	-999
331	8	0.8500000000000146	20	2.3374871813058653	0.003992392601360708	168.2	19.06476642852735	2.2049561164418536	77.44926265875492	399	17.67664074142434	17.67664074142434	17.67664074142434	10	1	-999	-999
331	8.5	0.8500000000000146	21	2.4862252818761053	0.003992392601360708	183.5	19.987247546511316	2.3350235073581516	77.44926265875492	399	18.89823703552047	18.89823703552047	18.89823703552047	10	1	-999	-999
331	9	0.8500000000000146	20	2.3309205473060093	0.003992392601360708	233	19.526499697313763	2.262977592460629	77.44926265875492	399	18.988902851890252	18.988902851890252	18.988902851890252	10	1	-999	-999
331	9.5	0.8500000000000146	20.3	2.376488973686041	0.003992392601360708	351.7	19.377780438579784	2.2436050909477014	77.44926265875492	399	18.937101577112532	18.937101577112532	18.937101577112532	10	1	-999	-999
331	10	0.8500000000000146	20.1	2.3486978143292743	0.003992392601360708	359.4	19.346130966786568	2.240756736645365	77.44926265875492	399	18.7952888571398	18.7952888571398	18.7952888571398	10	1	-999	-999
331	10.5	0.8500000000000146	20.1	2.3494057509758117	0.013610177370355152	601.4	20.850141344536578	2.4612826589044223	77.44926265875492	399	18.540123942230714	18.540123942230714	18.540123942230714	10	1	-999	-999
331	11	0.8500000000000146	20.2	2.3651701043071194	0.003992392601360708	354.46838449169115	20.088625856016264	2.348855283209035	77.44926265875492	399	18.703689357164208	18.703689357164208	18.703689357164208	10	1	-999	-999
331	11.5	0.8500000000000146	21	2.4854769447791227	0.003992392601360708	354.5417873955626	19.976208348012136	2.3326722737112706	77.44926265875492	399	18.709551972623004	18.709551972623004	18.709551972623004	10	1	-999	-999
331	12	0.8500000000000146	15.8	1.7916349353954353	0.006159618044927356	254.1611670677185	19.77310238652928	2.3040602361737306	77.44926265875492	399	19.146385907079157	19.146385907079157	19.146385907079157	10	1	-999	-999
331	12.5	0.8500000000000146	16.4	1.861756368261737	0.005880264828801204	272.4817925173788	19.920342926101295	2.325070490808201	77.44926265875492	399	19.008634908414948	19.008634908414948	19.008634908414948	10	1	-999	-999
331	13	0.8500000000000146	21	2.4857263904781166	0.003992392601360708	408.90431937284706	19.647386291061913	2.2856146676468447	77.44926265875492	399	18.311742154261616	18.311742154261616	18.311742154261616	10	1	-999	-999
331	13.5	0.8500000000000146	15.1	1.7164126954875478	0.007075383719944318	231.24070253693216	19.431316100073857	2.2593382407438076	77.44926265875492	399	18.864864955556687	18.864864955556687	18.864864955556687	10	1	-999	-999
331	14	0.8500000000000146	16.1	1.8281434966193733	0.006463394226792536	231.43963523251708	19.314390819708954	2.240657874048284	77.44926265875492	399	19.49635605218477	19.49635605218477	19.49635605218477	10	1	-999	-999
331	14.5	0.8500000000000146	15.1	1.7143470097643656	0.026124187228771054	195.8897973180281	19.51369153605582	2.268906818375149	77.44926265875492	399	19.32428646334396	19.32428646334396	19.32428646334396	10	1	-999	-999
331	15	0.8500000000000146	15	1.7033517580761284	0.01186478602688835	170.64496091213718	20.43528318163496	2.402735619366038	77.44926265875492	399	19.342826356590596	19.342826356590596	19.342826356590596	10	1	-999	-999
331	15.5	0.8500000000000146	14.9	1.6924185144573465	0.04710638110941667	122.74157353802292	20.235050713727144	2.3731531427738437	77.44926265875492	399	19.12560136503297	19.12560136503297	19.12560136503297	10	1	-999	-999
331	16	0.8500000000000146	15.4	1.749111736167946	0.006742747442918687	152.4407694499915	20.18346420991104	2.366702052273695	77.44926265875492	399	19.751423410211704	19.751423410211704	19.751423410211704	10	1	-999	-999
331	16.5	0.8500000000000146	16	1.8177856979848641	0.006700499646221502	139.5	19.646662783953985	2.2889385617657627	77.44926265875492	399	19.71178095496479	19.71178095496479	19.71178095496479	10	1	-999	-999
331	17	0.8500000000000146	17.1	1.946765691713212	0.03172847765451894	126.3	19.148249103124247	2.215565195942422	77.44926265875492	399	19.221752534710646	19.221752534710646	19.221752534710646	10	1	-999	-999
331	17.5	0.8500000000000146	17.4	1.9840591770543743	0.003992392601360708	128.1	19.65467749363035	2.286613775002496	77.44926265875492	399	19.318606805385755	19.318606805385755	19.318606805385755	10	1	-999	-999
331	18	0.8500000000000146	16.9	1.9216671358613155	0.004029966488265829	129.5	20.34383580142223	2.386535614713105	77.44926265875492	399	19.99957259114627	19.99957259114627	19.99957259114627	10	1	-999	-999
331	18.5	0.8500000000000146	14.7	1.6687237212651782	0.06765135147035276	129.9	20.41003001241856	2.397127316032054	77.44926265875492	399	19.97357610109138	19.97357610109138	19.97357610109138	10	1	-999	-999
331	19	0.8500000000000146	14.5	1.6479748002497001	0.02425964184907646	129.9	20.20289289615207	2.367310346709866	77.44926265875492	399	20.02674547952239	20.02674547952239	20.02674547952239	10	1	-999	-999
331	19.5	0.8500000000000146	16	1.8157797145701535	0.05221014235234599	0.083	19.56140297445104	2.2748043636019384	77.44926265875492	399	19.857848543256345	19.857848543256345	19.857848543256345	10	1	-999	-999
331	20	0.8500000000000146	17.1	1.9479391490319058	1.9086329588918864	0.1	20.359252738649083	2.3904394231676402	77.44926265875492	399	20.043384956290076	20.043384956290076	20.043384956290076	10	1	-999	-999
331	20.5	0.8500000000000146	15	1.7040359037767314	0.28505987081029543	0.071	20.748156492788876	2.450374773908864	77.44926265875492	399	19.96504465467727	19.96504465467727	19.96504465467727	10	1	-999	-999
331	21	0.8500000000000146	17.1	1.9487214539110354	0.004379167663859168	0.073	20.100734909669892	2.3531759113155633	77.44926265875492	399	18.915327531384957	18.915327531384957	18.915327531384957	10	1	-999	-999
331	21.5	0.8500000000000146	21.7	2.5962543051898805	0.004379167663859168	0.067	18.857337815259495	2.176449998267059	77.44926265875492	399	17.97581856455298	17.97581856455298	17.97581856455298	10	1	-999	-999
331	22	0.8500000000000146	20.5	2.411093460736145	0.004379167663859168	0.08	18.75973892575966	2.1631142992821726	77.44926265875492	399	17.7963854457596	17.7963854457596	17.7963854457596	10	1	-999	-999
